filename,width,height,class,xmin,ymin,xmax,ymax
person115277.jpg,150,100,person,72,49,77,59
person02115337.jpg,150,100,person,73,45,78,57
person0225331.jpg,150,100,person,58,25,89,48
person0235105.jpg,150,100,person,74,38,79,52
person022536.jpg,150,100,person,69,32,85,51
person02110188.jpg,150,100,person,72,33,82,50
person315145.jpg,150,100,person,72,48,76,57
person0215184.jpg,150,100,person,73,32,83,51
person02310216.jpg,150,100,person,72,35,80,48
person02115198.jpg,150,100,person,74,43,78,51
person2222.jpg,150,100,person,59,20,89,54
person31530.jpg,150,100,person,73,46,76,52
person0211563.jpg,150,100,person,74,46,77,51
person310250.jpg,150,100,person,72,45,76,60
person310237.jpg,150,100,person,70,37,79,58
person021579.jpg,150,100,person,69,33,83,48
person115200.jpg,150,100,person,72,43,77,51
person0211084.jpg,150,100,person,74,46,78,56
person02315170.jpg,150,100,person,74,43,77,50
person02315170.jpg,150,100,road,0,62,121,99
person02115178.jpg,150,100,person,73,47,78,55
person210357.jpg,150,100,person,68,37,79,50
person15196.jpg,150,100,person,55,36,89,61
person02115190.jpg,150,100,person,75,45,77,53
person35138.jpg,150,100,person,71,41,77,58
person02215158.jpg,150,100,person,75,49,79,55
person35292.jpg,150,100,person,67,1,109,34
person110260.jpg,150,100,person,70,31,78,51
person0212179.jpg,150,100,person,65,20,97,58
person0235256.jpg,150,100,person,52,31,90,100
person2295.jpg,150,100,person,63,36,81,62
person210323.jpg,150,100,person,67,36,84,51
person31041.jpg,150,100,person,72,40,76,50
person0225118.jpg,150,100,person,71,35,83,52
person02310253.jpg,150,100,person,73,36,79,56
person02115214.jpg,150,100,person,75,43,78,51
person15188.jpg,150,100,person,64,39,81,59
person315326.jpg,150,100,person,73,43,76,49
person0235305.jpg,150,100,person,64,1,90,75
person115141.jpg,150,100,person,72,43,76,51
person0231036.jpg,150,100,person,74,45,77,55
person12199.jpg,150,100,person,55,24,91,67
person35141.jpg,150,100,person,71,47,79,64
person0225297.jpg,150,100,person,60,30,88,66
person15139.jpg,150,100,person,67,45,79,60
person02315269.jpg,150,100,person,74,46,78,56
person0225277.jpg,150,100,person,33,0,116,51
person023547.jpg,150,100,person,73,43,78,58
person0231085.jpg,150,100,person,75,49,77,58
person0225142.jpg,150,100,person,71,41,85,58
person25180.jpg,150,100,person,67,48,90,71
person02110151.jpg,150,100,person,73,50,78,59
person35147.jpg,150,100,person,71,44,79,61
person215207.jpg,150,100,person,71,49,75,55
person02210222.jpg,150,100,person,68,49,81,66
person210268.jpg,150,100,person,67,41,83,60
